IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
4.7,Model House,2024-04-05,"['Hailee Lautenbach', 'Phillip Andre Botello', 'Scout Taylor-Compton', 'Randy Wayne', 'Ryan Merriman']","85
                min",Not Defined,,
3.9,Methodic,2007-10-19,"['Rachael Robbins', 'Tony Dadika', 'Damien Colletti', 'Zoe Hunter', 'Stephen Muzzonigro']","97
                min",Blinky Productions,,
5.9,"Love, Divided",2024-04-12,"['Miguel Ángel Muñoz', 'Fernando Guallar', 'Paco Tous', 'Eduardo Ferrés', 'Carlos Cañas']","98
                min",Tripictures,,
6.9,Legend of the Lost Locket,2024-04-13,"['Samantha Cole', 'Andrea Štefančíková', 'Viv Leacock', 'Beverley Elliott', 'Zak Santiago']","84
                min",Hunt Films,,
5.9,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",2023-10-17,"['David Dastmalchian', 'Barbara Dunkelman', 'Ozioma Akagha', 'Troy Baker', 'Travis Willingham']","75
                min",Warner Bros. Animation,,
5.2,Junction,2024-01-26,"['Jamie Chung', 'Josh Peck', 'Michael Badejo', 'Ryan Eggold', 'Dash Mihok']","98
                min",Verdi Productions,,
5,We're Going to Team Building,2023-12-28,"['Alexander Bárta', 'Filip Teller', 'Justýna Zedníková', 'Jakub Prachař', 'Anna Polívková']","105
                min",Not Defined,,
7.9,Hundreds of Beavers,2024-01-26,"['Mike Cheslik', 'Jessica Knap', 'Ryland Brickson Cole Tews', 'Luis Rico', 'Wes Tank']","108
                min",SRH,,
5.7,Fuks 2,2024-01-12,"['Maciej Stuhr', 'Paweł Janyst', 'Cezary Pazura', 'Janusz Gajos', 'Sonia Bohosiewicz']","98
                min",House Media Company,,
6.3,Arcadian,2024-04-12,"['Samantha Coughlan', 'Jaeden Lieberher', 'Daire McMahon', 'Sadie Soverall', 'Joel Gillman']","92
                min",Highland Film Group,,
5.4,A Journey,2024-04-13,"['Paolo Contis', 'Kaye Abad', 'Patrick Garcia', 'Jimmy Santos']","115
                min",Mavx Productions,,
5.9,A Hard Problem,2021-03-20,"['Reatha Grey', 'Johnny Berchtold', 'Jim Rigsby', 'Jennifer Hasty', 'Tacey Adams']","109
                min",Anchor Stone Productions,,
6.1,The Hidden Web,2023-09-01,"['Agnieszka Matan', 'Bartłomiej Deklewa', 'Jerzy Nasierowski', 'Aleksandra Justa', 'Dominik Nowak']","101
                min",Monolith Films,,
5.6,Stolen,2024-04-12,"['Pávva Pittja', 'Ida Persson Labba', 'Elin Kristina Oskal', 'Magnus Kuhmunen', 'Martin Wallström']","105
                min",Not Defined,,
5.1,Among Wolves,2023-10-27,"['Kelly Lynn Reiter', 'James Russo', 'Forrie J. Smith', 'Victoria Pratt', 'Jeff Fahey']","108
                min",Koenig Pictures,,
5,A Model Murder,2024-04-07,"['Molly Gibson', 'Ben VanderMey', 'Austin Valli', 'Kijsa Gifford', 'Silvia Baldassini']","85
                min",Hybrid,,
4.6,Damaged,2024-04-12,"['Brian McCardie', 'Laura Haddock', 'Birol Tarkan Yildiz', 'Samuel L. Jackson', 'Kate Dickie']","97
                min",Red Sea Media,,
6.2,The Greatest Hits,2024-04-05,"['Retta', 'David Corenswet', 'Austin Crute', ""Mary Eileen O'Donnell"", 'Evan Shafran']","94
                min",Groundswell Productions,,
4.6,Woody Woodpecker Goes to Camp,2024-04-12,"['Anthony Craig', 'Josh Lawson', 'Mary-Louise Parker', 'Eric Bauza', 'Chloe De Los Santos']","101
                min",Universal 1440 Entertainment,,
6.1,Parachute,2024-04-05,"['Lukas Gage', 'Jennifer Westfeldt', 'Gina Rodriguez', 'Chrissie Fit', 'Courtney Eaton']","97
                min",Yale Productions,,
6.4,"LaRoy, Texas",2024-04-12,"['Matthew Del Negro', 'Bob Clendenin', 'Alex Knight', 'John Magaro', 'Emily Pendergast']","110
                min",Lotus Entertainment,,
5.7,Fight Club,2023-12-15,"['Saravana Vel', 'Vijay Kumar', 'Avinash Raghudevan', 'Shankar Thas', 'Monisha Mohan Menon']","135
                min",Reel Good Films,,
3.6,Breathe,2024-04-04,"['James Saito', 'Raúl Castillo', 'Quvenzhané Wallis', 'Dan Martin', 'Jennifer Hudson']","93
                min",Thunder Road,,
6,What Jennifer Did,2024-04-09,"['Bill Courtice', 'Fernando Baldassini', 'Samantha Chang', 'Deborah Gladding', 'Alan Cooke']","87
                min",Not Defined,,
3.4,The Mummy Murders,2024-01-01,"['Cole Springer', 'Destiny Soria', 'Leila Anastasia Scott', 'Isak Tufic', 'Jeff Caperton']","83
                min",Bressler Productions,,
6.5,Romance in Hawaii,2023-06-03,"['Peter Porte', 'Cedric Jonathan', 'Coel Mahal', 'Lora Puanani Contreras', 'Max Ulloa']","90
                min",Nicely Entertainment,,
6.6,One Bad Apple: A Hannah Swensen Mystery,2024-04-05,"['Tess Atkins', 'Victor Webster', 'Sebastian Greaves', 'Oliver Rice', 'Alison Sweeney']","83
                min",Not Defined,,
